store_id, uptime_last_hour, uptime_last_day, uptime_last_week, downtime_last_hour, downtime_last_day, downtime_last_week
1000385412041408565, 0, 3, 11, 0, 0, 3 
1000558441535520566, 0, 0, 6, 0, 0, 6 
1003200614770244799, 0, 11, 3, 0, 1, 1 
1005454408747305679, 0, 4, 28, 0, 0, 11 
1007392278459573100, 0, 8, 32, 0, 3, 16 
100927970158485910, 0, 0, 26, 0, 0, 10 
1010479668839241668, 3, 20, 78, 20, 26, 39 
1010954516905912579, 2, 11, 44, 14, 21, 20 
1011603928978119029, 0, 1, 3, 0, 0, 1 
1012919347352044037, 0, 11, 23, 0, 2, 2 
1012964275950235204, 0, 3, 11, 0, 0, 3 
1015214744820193842, 0, 10, 37, 0, 3, 17 
1016295610192823996, 4, 38, 167, 19, 8, 84 
1016340945788417334, 0, 7, 25, 0, 1, 13 
1016634108828761839, 4, 39, 120, 19, 7, 51 
1019560701115878725, 0, 10, 43, 0, 0, 7 
1019604210961591619, 0, 7, 25, 0, 0, 9 
1021751857440600161, 0, 10, 46, 0, 2, 16 
1021872076660489708, 0, 11, 38, 0, 1, 14 
1022997542207533123, 0, 11, 42, 0, 3, 18 
1023195882669842302, 1, 9, 37, 13, 19, 19 
1024015964072928046, 0, 0, 11, 0, 0, 19 
1025343019535068501, 0, 6, 28, 0, 5, 16 
1026215891482405791, 0, 6, 26, 0, 6, 36 
1027536014731046481, 0, 8, 28, 0, 2, 14 
1027940035533410279, 0, 8, 30, 0, 2, 14 
1029401875370154802, 0, 2, 12, 0, 3, 4 
1030520037427647364, 0, 8, 30, 0, 1, 12 
1030838843716892116, 0, 1, 3, 0, 0, 0 
1031418415121069817, 4, 10, 47, 0, 6, 30 
1031837096861134419, 0, 4, 11, 0, 0, 3 
1032470530071453453, 4, 38, 89, 19, 8, 57 
1034937556355683894, 0, 0, 5, 0, 0, 5 
1034949516386825720, 0, 8, 29, 0, 2, 13 
1036522294471450615, 0, 0, 4, 0, 0, 3 
1038179518281210829, 0, 9, 39, 0, 2, 17 
1038266841183338064, 0, 8, 25, 0, 1, 8 
1039561743854937175, 2, 10, 42, 13, 20, 20 
1040311241747249138, 0, 4, 32, 0, 8, 16 
1040732551176103056, 0, 10, 33, 0, 2, 16 
1041483507949914259, 2, 19, 73, 21, 27, 46 
1042030963402089390, 0, 2, 18, 0, 0, 2 
1042980416206099690, 0, 7, 25, 0, 2, 13 
1043917341584031554, 5, 38, 166, 18, 8, 90 
